id;name;description;create_date;datum_od;datum_do;status
1;Frozen Libyan;engineer;2022-12-17T20:26:20;2022-12-17;2022-12-17;ZATVOREN
2;transmitter Sausages Engineer;feed;2022-12-18T10:15:31;2022-12-18;2022-12-17;ZATVOREN
3;Concrete;solutions;2022-12-17T19:49:49;2022-12-18;2022-12-18;OTVOREN
4;Integrated array payment;wireless;2022-12-17T20:14:23;2022-12-17;2022-12-17;ZATVOREN
5;Plastic Refined;bus Integrated CSS;2022-12-18T10:09:50;2022-12-18;2022-12-17;ZATVOREN
6;copy Lakes;Account withdrawal;2022-12-17T16:13:32;2022-12-18;2022-12-18;OTVOREN
7;Ghana Central;Buckinghamshire;2022-12-18T09:55:20;2022-12-18;2022-12-18;ZATVOREN
8;Granite Mouse Profit-focused;Dynamic bandwidth standardization;2022-12-18T12:36:49;2022-12-17;2022-12-17;ZATVOREN
9;Plastic;synthesizing Supervisor;2022-12-18T12:32:12;2022-12-18;2022-12-18;OTVOREN
10;deposit Bolivar Fuerte;Small Buckinghamshire;2022-12-17T20:46:02;2022-12-18;2022-12-18;OTVOREN
